accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc_macro,Modelo,dataset,duration,league,model
0.7241379310344828,0.7468253968253968,0.7257575757575757,0.7468253968253968,0.7327561327561328,0.8753461193089676,RandomForest,data_2,3years,la_liga,RandomForest
0.6551724137931034,0.5976190476190476,0.5986111111111111,0.5976190476190476,0.580952380952381,0.8544330970027564,RandomForest,data_2,3years,la_liga,RandomForest
0.6875,0.6909090909090909,0.7089160839160839,0.6909090909090909,0.6896193051799459,0.8623376623376625,Ensemble,data_2,3years,ligue_1_fr,Ensemble
0.625,0.6313131313131313,0.6262626262626262,0.6313131313131313,0.6280193236714976,0.7758119497249932,Ensemble,data_2,3years,ligue_1_fr,Ensemble
0.625,0.6077441077441077,0.6324786324786325,0.6077441077441077,0.611111111111111,0.801923479097392,Ensemble,data_2,3years,ligue_1_fr,Ensemble
0.625,0.6237373737373737,0.617003367003367,0.6237373737373737,0.6166666666666667,0.8369379613944833,Ensemble,data_2,3years,ligue_1_fr,Ensemble
0.78125,0.7744107744107743,0.7916666666666666,0.7744107744107743,0.770750405425328,0.9159514398644834,Ensemble,data_2,3years,ligue_1_fr,Ensemble
0.6875,0.6909090909090909,0.7764705882352941,0.6909090909090909,0.6892857142857144,0.8056277056277056,SVM,data_2,3years,premier_league,SVM
0.84375,0.8484848484848486,0.8493265993265994,0.8484848484848486,0.8449965493443754,0.9229437229437228,SVM,data_2,3years,premier_league,SVM
0.84375,0.8560606060606061,0.8560606060606061,0.8560606060606061,0.8550724637681159,0.9290945165945166,SVM,data_2,3years,premier_league,SVM
0.6875,0.6885521885521886,0.7566137566137566,0.6885521885521886,0.6990740740740741,0.8260132379697597,SVM,data_2,3years,premier_league,SVM
0.8125,0.8164983164983166,0.8380952380952381,0.8164983164983166,0.8178137651821862,0.9300269778530647,SVM,data_2,3years,premier_league,SVM
0.6875,0.6749287749287749,0.7627450980392156,0.6749287749287749,0.6936507936507937,0.8331011517510373,Ensemble,data_2,3years,serie_a_it,Ensemble
0.75,0.7413105413105413,0.8082788671023966,0.7413105413105413,0.7537037037037037,0.8901414248096171,Ensemble,data_2,3years,serie_a_it,Ensemble
0.59375,0.5977207977207977,0.6164021164021164,0.5977207977207977,0.60003005033431,0.7608747807832476,Ensemble,data_2,3years,serie_a_it,Ensemble
0.75,0.7444444444444445,0.8083333333333332,0.7444444444444445,0.7547619047619047,0.8654040404040404,Ensemble,data_2,3years,serie_a_it,Ensemble
